id,usuario,nombre,apellido,email,nocontrol,fechan,sexo,estadoc,ciudad,carrera,promedio_anterior,semestre,materias,transporte,familiares,trabajo,beca
2187,alumno176_220323652801,Alumno176,Test176,alumno176_33594@test.com,20211017,2003-02-03,F,Soltero,Orizaba,IINF,94.6,8,7,3,0,0,1
2188,alumno177_220323654857,Alumno177,Test177,alumno177_74741@test.com,20211017,2006-02-02,F,Soltero,Orizaba,ISC,91.1,8,5,0,3,1,0
2189,alumno178_220323656347,Alumno178,Test178,alumno178_67198@test.com,20211017,2006-02-02,M,Soltero,Orizaba,IINF,89.6,5,7,1,1,0,1
2190,alumno179_220323658349,Alumno179,Test179,alumno179_89211@test.com,20211017,2001-02-03,M,Soltero,Orizaba,IGE,83.0,6,7,3,3,0,1
2191,alumno180_220323659829,Alumno180,Test180,alumno180_53432@test.com,20211017,2006-02-02,F,Soltero,Orizaba,ICD,91.7,8,5,1,1,0,1
2192,alumno181_220323660864,Alumno181,Test181,alumno181_27276@test.com,20211018,1998-02-04,M,Soltero,Orizaba,ICD,82.7,5,7,0,2,1,0
2193,alumno182_220323662877,Alumno182,Test182,alumno182_92090@test.com,20211018,2007-02-02,F,Soltero,Orizaba,ICD,74.2,1,7,1,0,1,0
2194,alumno183_220323663932,Alumno183,Test183,alumno183_33534@test.com,20211018,2007-02-02,M,Casado,Orizaba,ISC,80.4,7,8,1,2,1,0
2195,alumno184_220323664979,Alumno184,Test184,alumno184_22731@test.com,20211018,2006-02-02,M,Soltero,Orizaba,ISC,78.3,7,5,3,2,1,1
2196,alumno185_220323667059,Alumno185,Test185,alumno185_94130@test.com,20211018,1998-02-04,F,Soltero,Orizaba,ICD,85.8,5,4,0,3,1,0
2197,alumno186_220323668125,Alumno186,Test186,alumno186_27511@test.com,20211018,1998-02-04,M,Casado,Orizaba,ICD,72.9,3,4,2,2,0,0
2198,alumno187_220323671148,Alumno187,Test187,alumno187_32571@test.com,20211018,1999-02-04,M,Soltero,Orizaba,ISC,84.1,2,8,1,2,0,0
2199,alumno188_220323672148,Alumno188,Test188,alumno188_56222@test.com,20211018,2001-02-03,F,Soltero,Orizaba,IGE,89.2,1,6,3,0,0,0
2200,alumno189_220323674197,Alumno189,Test189,alumno189_98667@test.com,20211018,2008-02-02,M,Soltero,Orizaba,IINF,70.5,4,4,0,1,0,0
2201,alumno190_220323675200,Alumno190,Test190,alumno190_97492@test.com,20211018,2006-02-02,M,Soltero,Orizaba,ICD,85.2,7,8,0,3,0,0
2202,alumno191_220323676194,Alumno191,Test191,alumno191_87857@test.com,20211019,2001-02-03,F,Soltero,Orizaba,ICD,93.7,4,5,0,1,1,0
2203,alumno192_220323677194,Alumno192,Test192,alumno192_19402@test.com,20211019,2003-02-03,F,Casado,Orizaba,IINF,72.3,2,7,0,3,0,0
2204,alumno193_220323678192,Alumno193,Test193,alumno193_45808@test.com,20211019,1999-02-04,M,Soltero,Orizaba,IINF,91.5,7,7,1,2,0,0
2205,alumno194_220323679197,Alumno194,Test194,alumno194_39240@test.com,20211019,1998-02-04,F,Casado,Orizaba,ICD,77.4,8,4,3,1,0,0
2206,alumno195_220323683708,Alumno195,Test195,alumno195_46268@test.com,20211019,2008-02-02,M,Soltero,Orizaba,IGE,73.7,4,5,3,1,0,0
2207,alumno196_220323684714,Alumno196,Test196,alumno196_49074@test.com,20211019,1998-02-04,F,Soltero,Orizaba,ICD,94.6,5,5,2,3,0,0
2208,alumno197_220323685762,Alumno197,Test197,alumno197_56648@test.com,20211019,2001-02-03,F,Soltero,Orizaba,IGE,84.3,8,7,2,2,0,1
2209,alumno198_220323686765,Alumno198,Test198,alumno198_65196@test.com,20211019,1998-02-04,M,Soltero,Orizaba,IGE,73.2,8,6,1,1,0,1
2210,alumno199_220323688989,Alumno199,Test199,alumno199_90391@test.com,20211019,1998-02-04,M,Casado,Orizaba,IINF,78.1,4,6,2,0,0,0
2211,alumno200_220323690046,Alumno200,Test200,alumno200_85888@test.com,20211019,1999-02-04,F,Soltero,Orizaba,ICD,78.3,9,8,3,3,0,0
2212,alumno201_220323691074,Alumno201,Test201,alumno201_15057@test.com,20221020,2007-02-02,F,Soltero,Orizaba,ISC,89.1,2,7,1,2,0,0
2213,alumno202_220323692078,Alumno202,Test202,alumno202_67194@test.com,20221020,2000-02-04,M,Soltero,Orizaba,IGE,93.2,7,4,2,2,1,0
2214,alumno203_220323693109,Alumno203,Test203,alumno203_74929@test.com,20221020,1998-02-04,F,Soltero,Orizaba,ISC,86.5,3,7,3,1,1,0
2215,alumno204_220323694113,Alumno204,Test204,alumno204_71324@test.com,20221020,1998-02-04,M,Soltero,Orizaba,ICD,74.4,3,8,2,0,0,0
2216,alumno205_220323695127,Alumno205,Test205,alumno205_96862@test.com,20221020,2005-02-02,M,Soltero,Orizaba,ICD,81.5,10,7,0,0,0,0
2217,alumno206_220323695127,Alumno206,Test206,alumno206_48270@test.com,20221020,2003-02-03,F,Soltero,Orizaba,IINF,89.0,9,4,0,3,0,0
2218,alumno207_220323696146,Alumno207,Test207,alumno207_38296@test.com,20221020,2004-02-03,F,Soltero,Orizaba,IGE,92.4,8,6,1,0,0,0
2219,alumno208_220323697192,Alumno208,Test208,alumno208_79015@test.com,20221020,2008-02-02,M,Soltero,Orizaba,IGE,82.7,8,8,3,1,1,0
2220,alumno209_220323698196,Alumno209,Test209,alumno209_42857@test.com,20221020,2008-02-02,M,Soltero,Orizaba,IINF,85.3,4,4,2,2,0,0
2221,alumno210_220323699242,Alumno210,Test210,alumno210_59196@test.com,20221020,2004-02-03,M,Soltero,Orizaba,IINF,81.5,7,4,2,3,0,0
2222,alumno211_220323700274,Alumno211,Test211,alumno211_27908@test.com,20221021,2000-02-04,F,Soltero,Orizaba,ICD,76.1,2,8,0,0,0,0
2223,alumno212_220323701292,Alumno212,Test212,alumno212_86750@test.com,20221021,2006-02-02,M,Soltero,Orizaba,IGE,80.4,5,4,2,0,0,0
2224,alumno213_220323701292,Alumno213,Test213,alumno213_99567@test.com,20221021,2001-02-03,M,Soltero,Orizaba,ISC,76.8,8,6,0,3,0,1
2225,alumno214_220323702305,Alumno214,Test214,alumno214_33253@test.com,20221021,1999-02-04,F,Soltero,Orizaba,IGE,82.4,10,5,1,3,0,1
2226,alumno215_220323703308,Alumno215,Test215,alumno215_74877@test.com,20221021,2005-02-02,F,Soltero,Orizaba,ISC,88.4,6,7,2,1,0,0
2227,alumno216_220323705506,Alumno216,Test216,alumno216_11025@test.com,20221021,2000-02-04,F,Soltero,Orizaba,ISC,85.1,7,6,3,0,0,0
2228,alumno217_220323706507,Alumno217,Test217,alumno217_59156@test.com,20221021,2007-02-02,M,Soltero,Orizaba,IINF,72.1,6,7,0,1,1,0
2229,alumno218_220323707505,Alumno218,Test218,alumno218_24798@test.com,20221021,2004-02-03,M,Soltero,Orizaba,ISC,74.1,9,6,2,2,1,0
2230,alumno219_220323707505,Alumno219,Test219,alumno219_85781@test.com,20221021,1998-02-04,F,Soltero,Orizaba,IINF,86.0,7,8,2,0,1,0
2231,alumno220_220323710069,Alumno220,Test220,alumno220_32243@test.com,20221021,2008-02-02,M,Casado,Orizaba,IINF,92.8,6,6,1,3,0,1
2232,alumno221_220323710069,Alumno221,Test221,alumno221_91768@test.com,20221022,1998-02-04,M,Soltero,Orizaba,IGE,79.6,7,7,3,1,0,0
2233,alumno222_220323711151,Alumno222,Test222,alumno222_49510@test.com,20221022,2007-02-02,M,Casado,Orizaba,IINF,94.0,1,5,2,1,1,0
2234,alumno223_220323712198,Alumno223,Test223,alumno223_80384@test.com,20221022,2003-02-03,F,Soltero,Orizaba,ISC,93.1,6,6,0,0,0,0
2235,alumno224_220323713219,Alumno224,Test224,alumno224_79328@test.com,20221022,2006-02-02,F,Casado,Orizaba,IGE,78.4,5,7,1,2,0,0
2236,alumno225_220323714223,Alumno225,Test225,alumno225_87492@test.com,20221022,2002-02-03,F,Soltero,Orizaba,ICD,77.1,8,5,0,3,1,1
2237,alumno226_220323715228,Alumno226,Test226,alumno226_70843@test.com,20221022,2002-02-03,F,Soltero,Orizaba,ISC,83.7,5,5,1,3,1,1
2238,alumno227_220323716232,Alumno227,Test227,alumno227_32221@test.com,20221022,2002-02-03,M,Soltero,Orizaba,ISC,72.7,5,4,2,0,1,0
2239,alumno228_220323717236,Alumno228,Test228,alumno228_95970@test.com,20221022,2003-02-03,F,Soltero,Orizaba,ISC,92.3,9,5,3,0,1,1
2240,alumno229_220323718254,Alumno229,Test229,alumno229_66381@test.com,20221022,2001-02-03,F,Casado,Orizaba,IGE,94.5,1,6,3,0,0,0
2241,alumno230_220323719297,Alumno230,Test230,alumno230_82779@test.com,20221022,2006-02-02,M,Soltero,Orizaba,ISC,88.8,8,8,0,0,0,1
2242,alumno231_220323720324,Alumno231,Test231,alumno231_29569@test.com,20221023,2007-02-02,M,Soltero,Orizaba,IINF,82.1,4,7,2,3,1,0
2243,alumno232_220323721458,Alumno232,Test232,alumno232_70310@test.com,20221023,2008-02-02,M,Soltero,Orizaba,ISC,79.4,3,7,2,0,1,0
2244,alumno233_220323722483,Alumno233,Test233,alumno233_56955@test.com,20221023,2008-02-02,F,Soltero,Orizaba,ISC,87.9,8,6,3,0,0,1
2245,alumno234_220323723489,Alumno234,Test234,alumno234_23273@test.com,20221023,2006-02-02,M,Soltero,Orizaba,IINF,92.9,7,7,1,0,1,1
2246,alumno235_220323724519,Alumno235,Test235,alumno235_71425@test.com,20221023,2007-02-02,M,Soltero,Orizaba,ICD,84.2,4,6,0,3,0,0
2247,alumno236_220323724519,Alumno236,Test236,alumno236_89685@test.com,20221023,2001-02-03,M,Soltero,Orizaba,ISC,70.1,4,7,1,0,0,0
2248,alumno237_220323727607,Alumno237,Test237,alumno237_76299@test.com,20221023,2007-02-02,M,Soltero,Orizaba,IINF,84.1,4,8,0,0,0,0
2249,alumno238_220323728634,Alumno238,Test238,alumno238_26531@test.com,20221023,2002-02-03,F,Casado,Orizaba,IGE,71.5,5,7,1,0,0,0
2250,alumno239_220323729701,Alumno239,Test239,alumno239_66490@test.com,20221023,2006-02-02,M,Soltero,Orizaba,IINF,88.1,1,7,3,0,0,0
2251,alumno240_220323729701,Alumno240,Test240,alumno240_17351@test.com,20221023,2007-02-02,F,Casado,Orizaba,IINF,93.7,7,8,2,1,1,0
2252,alumno241_220323731729,Alumno241,Test241,alumno241_12287@test.com,20221024,2000-02-04,F,Casado,Orizaba,ICD,92.6,4,6,1,2,0,0
2253,alumno242_220323732743,Alumno242,Test242,alumno242_29567@test.com,20221024,2003-02-03,M,Soltero,Orizaba,IGE,92.6,10,6,1,0,0,0
2254,alumno243_220323732743,Alumno243,Test243,alumno243_39430@test.com,20221024,2008-02-02,M,Soltero,Orizaba,IGE,93.6,6,7,2,0,0,1
2255,alumno244_220323733809,Alumno244,Test244,alumno244_48838@test.com,20221024,2000-02-04,M,Casado,Orizaba,ICD,83.7,4,4,3,0,1,0
2256,alumno245_220323734868,Alumno245,Test245,alumno245_14107@test.com,20221024,2007-02-02,M,Soltero,Orizaba,ICD,76.0,2,5,2,2,0,0
2257,alumno246_220323737263,Alumno246,Test246,alumno246_30224@test.com,20221024,2001-02-03,M,Soltero,Orizaba,IINF,86.5,6,7,0,1,0,0
2258,alumno247_220323738265,Alumno247,Test247,alumno247_35079@test.com,20221024,2002-02-03,F,Soltero,Orizaba,ISC,89.0,1,7,3,2,0,0
2259,alumno248_220323739330,Alumno248,Test248,alumno248_92015@test.com,20221024,2006-02-02,F,Casado,Orizaba,ICD,75.9,1,4,1,0,0,0
2260,alumno249_220323740379,Alumno249,Test249,alumno249_95304@test.com,20221024,2000-02-04,M,Soltero,Orizaba,IGE,84.7,1,5,2,2,0,0
2261,alumno250_220323744378,Alumno250,Test250,alumno250_21660@test.com,20221024,2002-02-03,F,Soltero,Orizaba,IGE,77.8,10,7,1,3,0,0
2262,alumno251_220323746585,Alumno251,Test251,alumno251_86195@test.com,20221025,2008-02-02,F,Casado,Orizaba,ISC,86.9,4,8,0,3,0,0
2263,alumno252_220323746585,Alumno252,Test252,alumno252_94210@test.com,20221025,2007-02-02,M,Soltero,Orizaba,ISC,79.2,5,4,1,2,0,1
2264,alumno253_220323749113,Alumno253,Test253,alumno253_35549@test.com,20221025,2001-02-03,M,Casado,Orizaba,IGE,71.0,10,8,1,3,0,0
2265,alumno254_220323750131,Alumno254,Test254,alumno254_57820@test.com,20221025,2008-02-02,F,Soltero,Orizaba,ICD,77.7,10,4,3,1,0,0
2266,alumno255_220323750131,Alumno255,Test255,alumno255_82127@test.com,20221025,2006-02-02,F,Soltero,Orizaba,ISC,76.5,5,4,2,0,1,1
2267,alumno256_220323752166,Alumno256,Test256,alumno256_17138@test.com,20221025,2008-02-02,F,Soltero,Orizaba,IINF,84.8,5,4,2,0,0,0
2268,alumno257_220323753171,Alumno257,Test257,alumno257_50285@test.com,20221025,1998-02-04,M,Soltero,Orizaba,IGE,88.3,7,6,1,0,1,0
2269,alumno258_220323755205,Alumno258,Test258,alumno258_10194@test.com,20221025,2007-02-02,F,Soltero,Orizaba,ICD,94.8,5,6,0,0,0,0
2270,alumno259_220323758236,Alumno259,Test259,alumno259_81086@test.com,20221025,1998-02-04,M,Soltero,Orizaba,IINF,89.8,9,5,1,0,0,0
2271,alumno260_220323759239,Alumno260,Test260,alumno260_53043@test.com,20221025,1998-02-04,F,Casado,Orizaba,ICD,75.7,4,6,1,0,1,0
2272,alumno261_220323760243,Alumno261,Test261,alumno261_27205@test.com,20221026,2006-02-02,F,Soltero,Orizaba,ISC,87.8,8,4,0,1,0,1
2273,alumno262_220323761282,Alumno262,Test262,alumno262_38382@test.com,20221026,2008-02-02,F,Casado,Orizaba,IINF,92.2,9,8,2,0,0,0
2274,alumno263_220323762294,Alumno263,Test263,alumno263_47475@test.com,20221026,2007-02-02,F,Casado,Orizaba,ICD,90.5,8,8,3,2,1,0
2275,alumno264_220323763298,Alumno264,Test264,alumno264_89058@test.com,20221026,2003-02-03,F,Soltero,Orizaba,IINF,91.7,6,8,2,3,1,0
2276,alumno265_220323764313,Alumno265,Test265,alumno265_46471@test.com,20221026,2005-02-02,F,Soltero,Orizaba,ICD,70.1,3,7,0,1,0,0
2277,alumno266_220323765327,Alumno266,Test266,alumno266_19376@test.com,20221026,1999-02-04,M,Casado,Orizaba,IGE,87.7,6,5,1,2,0,0
2278,alumno267_220323766331,Alumno267,Test267,alumno267_82843@test.com,20221026,2001-02-03,F,Soltero,Orizaba,ISC,72.1,8,5,2,2,1,0
2279,alumno268_220323767367,Alumno268,Test268,alumno268_27907@test.com,20221026,1998-02-04,F,Soltero,Orizaba,ISC,93.9,4,8,0,2,0,1
2280,alumno269_220323768371,Alumno269,Test269,alumno269_30276@test.com,20221026,2007-02-02,M,Soltero,Orizaba,ISC,84.1,6,5,1,1,1,1
2281,alumno270_220323769375,Alumno270,Test270,alumno270_41188@test.com,20221026,1998-02-04,M,Soltero,Orizaba,ICD,75.5,9,6,0,2,1,0
2282,alumno271_220323770379,Alumno271,Test271,alumno271_72608@test.com,20221027,2008-02-02,F,Casado,Orizaba,IGE,81.7,2,6,3,3,0,0
2283,alumno272_220323771391,Alumno272,Test272,alumno272_35496@test.com,20221027,2000-02-04,F,Soltero,Orizaba,ISC,78.6,10,4,0,1,0,1
2284,alumno273_220323772395,Alumno273,Test273,alumno273_32230@test.com,20221027,2000-02-04,F,Soltero,Orizaba,ISC,76.7,2,8,0,2,1,0
2285,alumno274_220323773402,Alumno274,Test274,alumno274_22267@test.com,20221027,1999-02-04,F,Soltero,Orizaba,IINF,83.2,4,8,0,0,1,0
2286,alumno275_220323774572,Alumno275,Test275,alumno275_35249@test.com,20221027,1998-02-04,F,Casado,Orizaba,ICD,91.3,9,5,2,1,0,0
2287,alumno276_220323775655,Alumno276,Test276,alumno276_50865@test.com,20221027,2001-02-03,M,Soltero,Orizaba,ICD,87.1,3,7,2,1,0,0
2288,alumno277_220323776683,Alumno277,Test277,alumno277_15998@test.com,20221027,2007-02-02,F,Soltero,Orizaba,IGE,79.3,2,8,1,0,0,0
2289,alumno278_220323777687,Alumno278,Test278,alumno278_52215@test.com,20221027,2003-02-03,F,Soltero,Orizaba,ISC,88.6,1,7,2,2,1,1
2290,alumno279_220323778705,Alumno279,Test279,alumno279_86707@test.com,20221027,2005-02-02,F,Soltero,Orizaba,IGE,71.9,7,7,1,2,0,0
2291,alumno280_220323779735,Alumno280,Test280,alumno280_17819@test.com,20221027,2008-02-02,M,Soltero,Orizaba,IINF,82.5,4,6,1,2,0,0
2292,alumno281_220323780739,Alumno281,Test281,alumno281_12576@test.com,20221028,2008-02-02,M,Soltero,Orizaba,ICD,90.9,4,4,2,3,0,0
2293,alumno282_220323783863,Alumno282,Test282,alumno282_22692@test.com,20221028,2001-02-03,F,Soltero,Orizaba,ICD,93.2,2,6,1,2,0,0
2294,alumno283_220323784867,Alumno283,Test283,alumno283_90430@test.com,20221028,1999-02-04,M,Soltero,Orizaba,ICD,91.9,3,6,2,0,1,0
2295,alumno284_220323785869,Alumno284,Test284,alumno284_43997@test.com,20221028,2000-02-04,F,Soltero,Orizaba,ICD,77.2,10,6,2,1,0,1
2296,alumno285_220323787889,Alumno285,Test285,alumno285_38373@test.com,20221028,1998-02-04,M,Casado,Orizaba,IGE,75.0,10,5,1,0,0,1
2297,alumno286_220323788904,Alumno286,Test286,alumno286_16790@test.com,20221028,2005-02-02,F,Soltero,Orizaba,ICD,80.9,6,4,2,3,1,0
2298,alumno287_220323789917,Alumno287,Test287,alumno287_64499@test.com,20221028,2000-02-04,F,Soltero,Orizaba,IGE,78.0,5,5,0,3,1,0
2299,alumno288_220323790943,Alumno288,Test288,alumno288_30082@test.com,20221028,2000-02-04,M,Soltero,Orizaba,IINF,84.3,10,8,3,1,0,1
2300,alumno289_220323792970,Alumno289,Test289,alumno289_98409@test.com,20221028,2005-02-02,M,Casado,Orizaba,ICD,85.2,10,5,1,0,1,0
2301,alumno290_220323793985,Alumno290,Test290,alumno290_53943@test.com,20221028,2000-02-04,M,Soltero,Orizaba,ICD,84.5,3,7,3,3,1,0
2302,alumno291_220323794988,Alumno291,Test291,alumno291_99761@test.com,20221029,2006-02-02,F,Soltero,Orizaba,ISC,94.1,1,5,0,2,0,1
2303,alumno292_220323796019,Alumno292,Test292,alumno292_94041@test.com,20221029,2005-02-02,F,Casado,Orizaba,ISC,79.9,2,8,3,3,1,0
2304,alumno293_220323798114,Alumno293,Test293,alumno293_97696@test.com,20221029,1999-02-04,F,Soltero,Orizaba,IGE,82.2,10,5,2,3,0,0
2305,alumno294_220323799117,Alumno294,Test294,alumno294_45007@test.com,20221029,2003-02-03,M,Soltero,Orizaba,IINF,77.4,8,7,3,3,0,0
2306,alumno295_220323800139,Alumno295,Test295,alumno295_32742@test.com,20221029,2007-02-02,M,Soltero,Orizaba,IINF,73.9,3,4,3,0,0,1
2307,alumno296_220323801142,Alumno296,Test296,alumno296_44613@test.com,20221029,2004-02-03,M,Soltero,Orizaba,ISC,87.0,6,6,1,0,0,1
2308,alumno297_220323801142,Alumno297,Test297,alumno297_82422@test.com,20221029,1998-02-04,F,Soltero,Orizaba,ISC,73.3,8,6,0,3,0,0
2309,alumno298_220323802144,Alumno298,Test298,alumno298_98315@test.com,20221029,2007-02-02,M,Casado,Orizaba,ISC,80.8,8,4,3,1,0,0
2310,alumno299_220323803184,Alumno299,Test299,alumno299_89100@test.com,20221029,2000-02-04,F,Soltero,Orizaba,IGE,92.5,8,4,0,0,1,0
2311,alumno300_220323804236,Alumno300,Test300,alumno300_89989@test.com,20221029,2000-02-04,M,Soltero,Orizaba,ISC,87.1,10,5,2,2,0,0
2312,alumno301_220323805239,Alumno301,Test301,alumno301_46349@test.com,20231030,1999-02-04,M,Soltero,Orizaba,ISC,89.5,8,8,2,2,0,1
2313,alumno302_220323806241,Alumno302,Test302,alumno302_69202@test.com,20231030,2004-02-03,F,Soltero,Orizaba,ISC,74.3,5,6,0,2,0,0
2314,alumno303_220323807256,Alumno303,Test303,alumno303_74674@test.com,20231030,1998-02-04,F,Casado,Orizaba,IGE,70.9,4,5,2,1,0,0
2315,alumno304_220323808260,Alumno304,Test304,alumno304_97085@test.com,20231030,2005-02-02,F,Soltero,Orizaba,IGE,75.1,1,8,3,3,0,0
2316,alumno305_220323809282,Alumno305,Test305,alumno305_31196@test.com,20231030,1998-02-04,M,Soltero,Orizaba,ISC,78.4,8,6,0,2,0,0
2317,alumno306_220323810349,Alumno306,Test306,alumno306_63798@test.com,20231030,2005-02-02,F,Casado,Orizaba,IINF,78.7,9,7,0,1,0,1
2318,alumno307_220323811351,Alumno307,Test307,alumno307_87441@test.com,20231030,2001-02-03,F,Soltero,Orizaba,IINF,79.9,7,5,1,2,0,0
2319,alumno308_220323812368,Alumno308,Test308,alumno308_74892@test.com,20231030,2000-02-04,F,Soltero,Orizaba,IGE,84.1,7,6,1,2,0,0
2320,alumno309_220323813408,Alumno309,Test309,alumno309_59755@test.com,20231030,2004-02-03,F,Soltero,Orizaba,IGE,78.7,3,8,1,1,0,0
2321,alumno310_220323814415,Alumno310,Test310,alumno310_32929@test.com,20231030,2005-02-02,M,Casado,Orizaba,ISC,85.2,10,6,3,3,0,1
2322,alumno311_220323815447,Alumno311,Test311,alumno311_96199@test.com,20231031,2006-02-02,F,Soltero,Orizaba,IGE,91.2,5,5,3,1,1,0
2323,alumno312_220323816450,Alumno312,Test312,alumno312_60114@test.com,20231031,1999-02-04,M,Soltero,Orizaba,ICD,90.4,3,5,3,3,1,0
2324,alumno313_220323817453,Alumno313,Test313,alumno313_60361@test.com,20231031,2004-02-03,M,Soltero,Orizaba,ICD,94.9,3,6,2,2,0,0
2325,alumno314_220323818473,Alumno314,Test314,alumno314_73675@test.com,20231031,2000-02-04,M,Soltero,Orizaba,IINF,74.1,10,4,3,1,0,1
2326,alumno315_220323819643,Alumno315,Test315,alumno315_75635@test.com,20231031,2003-02-03,F,Soltero,Orizaba,IGE,73.5,8,7,2,2,0,0
2327,alumno316_220323820647,Alumno316,Test316,alumno316_36262@test.com,20231031,2002-02-03,M,Soltero,Orizaba,IGE,84.9,4,5,0,0,0,0
2328,alumno317_220323821651,Alumno317,Test317,alumno317_60140@test.com,20231031,2006-02-02,F,Casado,Orizaba,ISC,90.6,9,5,1,2,0,0
2329,alumno318_220323822654,Alumno318,Test318,alumno318_33259@test.com,20231031,2007-02-02,F,Casado,Orizaba,IGE,80.6,4,6,3,3,1,0
2330,alumno319_220323823671,Alumno319,Test319,alumno319_49891@test.com,20231031,2007-02-02,F,Soltero,Orizaba,ICD,83.3,5,6,2,3,0,0
2331,alumno320_220323824677,Alumno320,Test320,alumno320_84978@test.com,20231031,2001-02-03,F,Casado,Orizaba,IGE,94.5,8,6,1,2,1,0
2332,alumno321_220323825707,Alumno321,Test321,alumno321_60607@test.com,20231032,2000-02-04,M,Soltero,Orizaba,ICD,87.2,4,5,2,3,0,0
2333,alumno322_220323826710,Alumno322,Test322,alumno322_78018@test.com,20231032,2003-02-03,F,Soltero,Orizaba,IINF,77.5,7,4,1,3,0,0
2334,alumno323_220323827712,Alumno323,Test323,alumno323_37663@test.com,20231032,2001-02-03,M,Soltero,Orizaba,ISC,85.7,4,5,3,3,0,1
2335,alumno324_220323830863,Alumno324,Test324,alumno324_16994@test.com,20231032,2003-02-03,M,Soltero,Orizaba,IGE,82.6,4,8,3,3,0,0
2336,alumno325_220323831943,Alumno325,Test325,alumno325_80939@test.com,20231032,2006-02-02,F,Soltero,Orizaba,ICD,76.6,5,4,1,0,0,0
2337,alumno326_220323832961,Alumno326,Test326,alumno326_12619@test.com,20231032,2001-02-03,F,Soltero,Orizaba,IINF,91.7,1,8,3,1,0,0
2338,alumno327_220323833992,Alumno327,Test327,alumno327_57482@test.com,20231032,2003-02-03,F,Soltero,Orizaba,IINF,82.1,2,7,2,2,0,1
2339,alumno328_220323833992,Alumno328,Test328,alumno328_25611@test.com,20231032,2000-02-04,M,Casado,Orizaba,IGE,79.7,9,4,0,1,0,0
2340,alumno329_220323834995,Alumno329,Test329,alumno329_44223@test.com,20231032,2003-02-03,M,Casado,Orizaba,ISC,89.4,7,8,0,0,0,0
2341,alumno330_220323836012,Alumno330,Test330,alumno330_63546@test.com,20231032,2007-02-02,F,Soltero,Orizaba,ICD,90.0,3,6,3,1,0,0
2342,alumno331_220323838021,Alumno331,Test331,alumno331_94274@test.com,20231033,2002-02-03,M,Casado,Orizaba,ISC,80.0,4,4,1,3,1,0
2343,alumno332_220323838021,Alumno332,Test332,alumno332_83048@test.com,20231033,1999-02-04,M,Soltero,Orizaba,IGE,91.9,3,6,2,3,0,0
2344,alumno333_220323839123,Alumno333,Test333,alumno333_12131@test.com,20231033,2006-02-02,F,Soltero,Orizaba,IINF,71.8,3,4,2,1,0,0
2345,alumno334_220323840157,Alumno334,Test334,alumno334_95958@test.com,20231033,2008-02-02,F,Soltero,Orizaba,ICD,72.6,9,4,1,0,0,1
2346,alumno335_220323841160,Alumno335,Test335,alumno335_12921@test.com,20231033,2008-02-02,M,Soltero,Orizaba,ICD,81.0,6,5,1,0,0,0
2347,alumno336_220323842163,Alumno336,Test336,alumno336_35006@test.com,20231033,2008-02-02,M,Soltero,Orizaba,ICD,90.1,7,6,3,0,0,0
2348,alumno337_220323843165,Alumno337,Test337,alumno337_80279@test.com,20231033,2000-02-04,F,Soltero,Orizaba,ICD,71.8,6,6,3,0,1,0
2349,alumno338_220323844483,Alumno338,Test338,alumno338_42425@test.com,20231033,2008-02-02,F,Casado,Orizaba,ICD,93.7,3,8,1,3,1,0
2350,alumno339_220323845509,Alumno339,Test339,alumno339_24998@test.com,20231033,1999-02-04,M,Soltero,Orizaba,IGE,80.5,1,6,0,1,1,0
2351,alumno340_220323846539,Alumno340,Test340,alumno340_50741@test.com,20231033,2006-02-02,M,Casado,Orizaba,ICD,92.9,4,6,0,0,0,1
2352,alumno341_220323848551,Alumno341,Test341,alumno341_76430@test.com,20231034,2007-02-02,F,Soltero,Orizaba,IGE,84.4,3,5,1,3,1,0
2353,alumno342_220323849559,Alumno342,Test342,alumno342_63375@test.com,20231034,2005-02-02,M,Soltero,Orizaba,IGE,80.3,7,4,3,1,0,1
2354,alumno343_220323850854,Alumno343,Test343,alumno343_38733@test.com,20231034,2005-02-02,F,Soltero,Orizaba,ISC,89.6,6,8,1,3,1,0
2355,alumno344_220323851856,Alumno344,Test344,alumno344_11082@test.com,20231034,2007-02-02,F,Casado,Orizaba,ISC,78.9,9,5,3,2,0,0
2356,alumno345_220323852862,Alumno345,Test345,alumno345_12934@test.com,20231034,2003-02-03,M,Soltero,Orizaba,ISC,76.1,5,8,2,2,0,0
2357,alumno346_220323854878,Alumno346,Test346,alumno346_26201@test.com,20231034,2008-02-02,F,Soltero,Orizaba,IINF,70.7,8,4,0,1,1,0
2358,alumno347_220323856085,Alumno347,Test347,alumno347_17081@test.com,20231034,2002-02-03,F,Soltero,Orizaba,ICD,85.4,1,8,2,0,0,1
2359,alumno348_220323857206,Alumno348,Test348,alumno348_21442@test.com,20231034,2007-02-02,M,Soltero,Orizaba,ICD,79.1,6,7,1,2,0,0
2360,alumno349_220323858239,Alumno349,Test349,alumno349_41461@test.com,20231034,2004-02-03,M,Soltero,Orizaba,ISC,91.5,1,4,1,3,1,0
2361,alumno350_220323859242,Alumno350,Test350,alumno350_90323@test.com,20231034,2002-02-03,M,Soltero,Orizaba,ISC,75.6,8,6,2,1,1,1
2362,alumno351_220323861323,Alumno351,Test351,alumno351_79514@test.com,20231035,1998-02-04,F,Soltero,Orizaba,IGE,82.8,6,4,2,1,0,1
